이름,위도,경도,소재지,연락처,구분,휴무일,운영시간
부산약국,35.4334103,129.3096674,울산광역시 울주군 온산읍 덕신로 258@ (온산읍),052-238-6677,약국,,
건강드림약국,35.4338525,129.3098505,울산광역시 울주군 온산읍 덕신로 259@ 1층,052-237-5481,약국,,
큰사랑약국,35.4334672,129.3100665,울산광역시 울주군 온산읍 덕신로 262,052-237-5578,약국,,
덕신약국,35.4335172,129.3102975,울산광역시 울주군 온산읍 덕신로 264,052-238-3761,약국,,
천지인약국,35.4335348,129.3104633,울산광역시 울주군 온산읍 덕신로 266,052-237-7230,약국,,
온정약국,35.4342791,129.3119275,울산광역시 울주군 온산읍 덕신로 279@ 수산업협동조합(온산점) 1층,052-237-1237,약국,,
오렌지약국,35.4404377,129.3078201,울산광역시 울주군 온산읍 영남6길 20,052-237-2332,약국,,
온양온누리약국,35.4169149,129.2809206,울산광역시 울주군 온양읍 남창1길 50,052-237-0851,약국,,
남일약국,35.4169874,129.2812386,울산광역시 울주군 온양읍 남창2길 15@ (온양읍),052-238-3527,약국,,
남창중앙약국,35.4158425,129.2803279,울산광역시 울주군 온양읍 남창강변로 36,052-238-7779,약국,,
새마을약국,35.4104301,129.2825255,울산광역시 울주군 온양읍 대안3길 58@ 1층 2호,052-239-3843,약국,,
태선약국,35.412355,129.2800632,울산광역시 울주군 온양읍 대운길 15,052-707-8272,약국,,
미래팜하나로약국,35.4133995,129.2818714,울산광역시 울주군 온양읍 대운길 45@ (온양읍),052-238-0968,약국,,
미소약국,35.4091037,129.2824878,울산광역시 울주군 온양읍 연안2길 13,052-237-7535,약국,,
우리약국,35.4085566,129.2823114,울산광역시 울주군 온양읍 연안2길 19@ (온양읍),052-239-8275,약국,,
튼튼약국,35.4099342,129.2827775,울산광역시 울주군 온양읍 온양로 102,052-238-0380,약국,,
주약국,35.4102646,129.2834014,울산광역시 울주군 온양읍 온양로 105,052-239-8568,약국,,
다리걸중앙약국,35.4110712,129.2801178,울산광역시 울주군 온양읍 온양로 73-2,052-238-7778,약국,,
라라약국,35.4070982,129.2900119,울산광역시 울주군 온양읍 화산발리로 742-15@ 대안리아동병원,052-239-3777,약국,,
사상오체사성명인당약국,35.4649033,129.2088901,울산광역시 울주군 웅촌면 곡천동문길 16-1@ 1층,052-224-8897,약국,,
한솔약국,35.4892956,129.213094,울산광역시 울주군 웅촌면 삼동로 1621,052-225-6888,약국,,
덕하약국,35.4911289,129.3048107,울산광역시 울주군 청량면 덕하로 228@ (청량면),052-268-7595,약국,,
동아약국,35.4917232,129.3051281,울산광역시 울주군 청량면 덕하로 234,052-268-4647,약국,,
쌍용늘푸른약국,35.4935335,129.2384031,울산광역시 울주군 청량면 삼정로 92@ 24동 104호,052-222-3344,약국,,
둘리온누리약국,35.4872273,129.3026153,울산광역시 울주군 청량읍 삼정로 808@ 유민클리닉 1층 101호,052-716-6950,약국,,
